,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15,,,,,,,,
75,Mondelez Interna,2000000,0.4,100,46.96,16.4,20.08,28.74,33.17,40.29,46.96,65.8,79.86,,,,,, ,,,,
76,Motorola Solution,2000000,0.4,100,43.89,11.57,17.85,22.76,31.18,37.25,43.89,61.71,81.62,,,,,, ,,,,
77,National Rural U,2000000,0.4,100,23.31,8.77,10.34,12.24,16.64,20.53,23.31,43.2,55.98,,,,,, ,,,,
78,Netflix Inc,2000000,0.4,500,36.36,12.84,16.25,20.8,25.55,30.83,36.36,55.67,63.24,,,,,, ,,,,
79,Newmont Corp,2000000,0.4,100,39.23,9.33,15.12,20.5,25.65,33.22,39.23,59.86,81.84,,,,,, ,,,,
80,NextEra Energy C,2000000,0.4,100,62.92,14.61,25.31,33.68,43.77,53.28,62.92,95.57,116.62,,,,,, ,,,,
81,Norfolk Southern,2000000,0.4,100,24.97,9.28,11.94,15.08,18.86,21.88,24.97,40.07,57.5, ,,,,, ,,,,
82,Northrop Grumm,2000000,0.4,100,28.1,8.47,12.25,16.24,20.38,24.16,28.1,42.09,54.41, ,,,,, ,,,,
83,Occidental Petro,2000000,0.4,100,97.06,45.34,50.7,64.31,78.39,86.45,97.06,126.19,149.07, ,,,,,,,,,
84,Omnicom Group ,2000000,0.4,100,52.7,14.67,18.93,25.52,35.45,42.14,52.7,69.43,86.07, ,,,,,,,,,
85,Oracle Corp,2000000,0.4,100,121.06,44.33,56.63,69.33,86.14,104.75,121.06,149.95,177.01, ,,,,,,,,,
86,Ovintiv Inc,2000000,0.4,100,106.91,42.2,47.86,62.3,74.57,92.8,106.91,147.41,177.24, ,,,,,,,,,
87,Packaging Corp o,2000000,0.4,100,38.74,12.35,14.52,19.27,25.91,32.87,38.74,53.18,70.3, ,,,,,,,,,
88,Paramount Globa,2000000,0.4,100,139.82,36.55,30.52,50.72,80.31,112.72,139.82,182.52,201.44, ,,,,,,,,,
89,Pfizer Inc,2000000,0.4,100,38.2,12.36,14.49,19.35,26.09,31.79,38.2,59.09,84.05, ,,,,,,,,,
90,Prudential Finan,2000000,0.4,100,69.48,22.09,28,37.86,47.77,57.71,69.48,93.51,112.73, ,,,,,,,,,
91,PulteGroup Inc,2000000,0.4,500,76.64,29.74,28.71,41.64,54.23,66.25,76.64,113.74,141.28, ,,,,,,,,,
92,Quest Diagnostic,2000000,0.4,100,33.72,10.69,14.27,18.13,23.7,29.07,33.72,48.9,63.93, ,,,,,,,,,
93,Radian Group Inc,2000000,0.4,500,100.83,24.72,37.2,54.92,71.21,84.33,100.83,131.87,155.3, ,,,,,,,,,
94,Royal Caribbean ,2000000,0.4,500,85.18,26.19,34.76,53.03,63.35,72.13,85.18,121.4,142.27, ,,,,,,,,,
95,RTX Corp,2000000,0.4,100,38.91,11.23,15.17,22.19,28.74,33.63,38.91,55.88,71.51, , , , , ,,,,,
96,Ryder System In,2000000,0.4,100,67.48,17.62,20.91,31.42,42.5,56.33,67.48,95.68,122.13, ,,,,,,,,,
97,Sempra,2000000,0.4,100,36,8,13.3,20,23.22,28.78,36,55.04,71.83, , ,,,,,,,,
98,Southwest Airline,2000000,0.4,100,116.9,34.58,42.42,65.66,81.24,97.99,116.9,152.97,175.19, , ,,,,,,,,
99,T-Mobile USA Inc,2000000,0.4,500,52.75,21.36,23.69,29.16,36.87,45.77,52.75,70.67,87.72, , ,,,,,,,,
100,Target Corp,2000000,0.4,100,51.79,13.91,20.17,28.8,36.35,43.61,51.79,68.25,82.02, , ,,,,,,,,
101,Teck Resources ,2000000,0.4,500,51.1,15.62,18.43,26.6,34.53,42.81,51.1,83.23,107.06, , ,,,,,,,,
102,AES Corp/The,2000000,0.4,500,113.13,21.6,38.89,58.35,77.24,95.68,113.13,154.91,175.28, , ,,,,,,,,
103,Allstate Corp/Th,2000000,0.4,100,31.28,11.55,13.78,17.16,21.39,27.23,31.28,46.04,57.92, , ,,,,,,,,
104,Boeing Co/The,2000000,0.4,100,72.58,30.98,36.13,42.19,53.47,61.4,72.58,93.72,111.09, , ,,,,,,,,
105,Campbell's Comp,2000000,0.4,100,58.13,14.85,20.9,26.99,36.97,46.02,58.13,85.74,105.92, , ,,,,,,,,
106,Dow Chemical Co,2000000,0.4,100,100.92,22.15,29.24,43.46,61.75,81.28,100.92,132.82,155.3, , , , , , ,,,,
107,Home Depot Inc/,2000000,0.4,100,31.88,11.23,12.67,19.25,22.59,26.33,31.88,45.98,61.79, , ,,,,,,,,
108,Kroger Co/The,2000000,0.4,100,42.13,13.48,16.58,21.88,27.66,35.2,42.13,62.28,77.6, , , ,,,,,,,
109,PNC Financial Se,2000000,0.4,100,57.06,30.33,32.21,39.41,45.69,51.13,57.06,74.8,87.83, , , ,,,,,,,
110,Procter & Gambl,2000000,0.4,100,26.62,12.67,15.67,18.48,21.42,23.29,26.62,37.78,49.74, , , ,,,,,,,
111,Sherwin-Williams,2000000,0.4,100,51.19,17.26,21.11,27.58,35.26,43.48,51.19,78.95,98.66, , , ,,,,,,,
112,Southern Co/The,2000000,0.4,100,41.35,12.31,17.35,26.92,32.81,37.38,41.35,60.39,76.79, , , ,,,,,,,
113,Walt Disney Co/T,2000000,0.4,100,37.86,16.69,19.26,22.63,29.26,33.48,37.86,51.56,63.09, , , ,,,,,,,
114,Williams Cos Inc,2000000,0.4,100,54.78,16.13,18.16,25.41,35.23,45.5,54.78,86.17,109.09, , , ,,,,,,,
115,Toll Brothers Inc,2000000,0.4,100,88.61,25.7,33.27,46.8,60.2,76.21,88.61,126.4,155.96, , , ,,,,,,,
116,TransCanada Pip,2000000,0.4,100,56.31,15.23,18.99,26.1,35.95,45.71,56.31,82.2,105.21,, , ,,,,,,,
117,Tyson Foods Inc,2000000,0.4,100,50.31,16.41,20.98,27,37.02,42.3,50.31,71.95,91.76, , , ,,,,,,,
118,Union Pacific Cor,2000000,0.4,100,27.16,10.01,12.65,15.55,19.63,23.8,27.16,40.44,54.58, ,, ,,,,,,,
119,United Parcel Se,2000000,0.4,100,35.25,11.98,16.01,19.89,24.52,30.45,35.25,50.51,63.59, ,, ,,,,,,,
120,UnitedHealth Gro,2000000,0.4,100,45.72,15.53,19.45,25.74,34.25,39.81,45.72,64.48,79.99, ,, ,,,,,,,
121,Valero Energy Co,2000000,0.4,100,53.26,16.57,18.6,25.28,34.91,46.12,53.26,84.11,106.45, ,, ,,,,,,,
122,Verizon Commun,2000000,0.4,100,61.07,28.74,32.63,37.84,46.87,54.51,61.07,82.51,102.97, ,, ,,,,,,,
123,Walmart Inc,2000000,0.4,100,27.57,10.71,12.7,18.34,21.77,25.07,27.57,41.57,53.41, ,, ,,,,,,,
124,Weyerhaeuser Co,2000000,0.4,100,34.18,11.74,13.47,17.9,24.79,28.42,34.18,48.1,64.54, ,, ,,,,,,,
125,Simon Property ,2000000,0.4,100,55.09,16.79,21.62,29.21,37.58,46.15,55.09,85.46,102.73,,, ,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,
