,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr, ,,,,,,
77,National Rural U,2000000,0.4,100,23.51,7.83,9.75,12.03,16.69,20.06,23.51,42.23,54.97, , , ,,,,
78,Netflix Inc,2000000,0.4,500,38.43,12.5,16.9,20.87,26.73,32.24,38.43,59.08,65, , , ,,,,
79,Newmont Corp,2000000,0.4,100,37.95,9.3,15.03,20.08,25.34,32.09,37.95,59.44,82.13, , , ,,,,
80,NextEra Energy C,2000000,0.4,100,62.17,16.41,26.32,33.92,43.13,53.16,62.17,93.81,114.59, , , ,,,,
81,Norfolk Southern,2000000,0.4,100,22.1,8.06,10.45,13.13,16.61,19,22.1,34.94,50.62, , , ,,,,
82,Northrop Grumm,2000000,0.4,100,25.73,7.36,11.01,15.1,19.15,22.29,25.73,40.14,52.63, , , ,,,,
83,Occidental Petro,2000000,0.4,100,91.62,40.89,45.51,57.48,70.96,79.67,91.62,119.98,142.61, , , ,,,,
84,Omnicom Group ,2000000,0.4,100,47.99,14.1,18.45,24.69,33.63,40.51,47.99,66.42,84.58, , , ,,,,
85,Oracle Corp,2000000,0.4,100,130.49,47.69,63.64,82.24,95.85,115.36,130.49,159.79,187.73, , , ,,,,
86,Ovintiv Inc,2000000,0.4,100,101.12,38.17,43.73,58.7,70.13,87.43,101.12,142.46,169.23, , , ,,,,
87,Packaging Corp o,2000000,0.4,100,36.25,12.36,13.46,18.06,24.36,30.59,36.25,48.58,64.16, , , ,,,,
88,Paramount Globa,2000000,0.4,100,138.86,32.71,28.72,46.84,76,111.73,138.86,180.18,200.57, , , ,,,,
89,Pfizer Inc,2000000,0.4,100,36.29,12.87,14.34,18.74,25.53,31.02,36.29,48.04,66.37, , , ,,,,
90,Prudential Finan,2000000,0.4,100,65.6,20.88,26.03,35.75,45.57,56.11,65.6,90.33,109.23, , , ,,,,
91,PulteGroup Inc,2000000,0.4,500,70.8,30.14,30.66,41.6,53.42,65.18,70.8,98.04,120.73, , , ,,,,
